vehicle_id,cell_chemistry,cycle_number,calendar_age_days,soh_pct,capacity_Ah,nominal_capacity_kWh,internal_resistance_mOhm,eis_impedance_1kHz_Ohm,voltage_OCV_V,dod_pct,c_rate_charge,c_rate_discharge,temperature_C,data_source
V00001,NCA,153,439.0,98.39,80.68,82.0,19.8,0.0191,4.157,44.3,2.47,1.42,34.6,real_calibrated
V00001,NCA,168,466.0,98.08,80.43,82.0,19.89,0.02,4.145,66.1,2.31,1.15,22.6,real_calibrated
V00001,NCA,178,484.0,98.3,80.61,82.0,21.12,0.0222,4.147,94.8,2.24,1.94,28.6,real_calibrated
V00001,NCA,183,493.0,98.1,80.44,82.0,20.49,0.0205,4.138,57.9,2.69,1.32,22.2,synthetic
V00001,NCA,188,502.0,97.69,80.11,82.0,20.55,0.0228,4.14,35.7,2.96,1.18,24.1,synthetic
V00001,NCA,192,510.0,98.07,80.42,82.0,21.3,0.0211,4.144,89.8,0.95,1.83,38.4,real_calibrated
V00001,NCA,194,513.0,97.9,80.28,82.0,19.27,0.0202,4.142,40.6,1.95,0.58,33.9,synthetic
V00001,NCA,220,560.0,97.93,80.3,82.0,19.78,0.0188,4.165,57.8,1.94,2.31,25.4,real_calibrated
V00001,NCA,222,564.0,97.31,79.79,82.0,20.36,0.0212,4.149,58.9,1.88,2.18,25.6,real_calibrated
V00001,NCA,226,571.0,97.18,79.69,82.0,20.54,0.021,4.142,31.4,1.58,2.4,14.2,real_calibrated
V00001,NCA,230,578.0,97.78,80.18,82.0,20.58,0.0199,4.134,69.1,0.53,1.74,39.8,real_calibrated
V00001,NCA,236,589.0,97.25,79.75,82.0,20.7,0.0216,4.131,51.6,2.92,1.89,33.8,real_calibrated
V00001,NCA,240,596.0,97.52,79.97,82.0,20.06,0.0201,4.14,76.2,2.41,1.32,15.1,real_calibrated
V00001,NCA,247,609.0,97.17,79.68,82.0,20.07,0.02,4.137,65.1,1.83,0.67,38.5,real_calibrated
V00001,NCA,248,610.0,97.38,79.85,82.0,19.85,0.0202,4.138,42.2,0.37,1.49,29.6,real_calibrated
V00001,NCA,253,619.0,97.4,79.87,82.0,21.24,0.022,4.146,58.3,2.31,2.39,29.7,real_calibrated
V00001,NCA,265,641.0,96.76,79.34,82.0,19.74,0.0186,4.139,47.6,1.43,2.46,44.5,real_calibrated
V00001,NCA,285,677.0,97.21,79.71,82.0,20.42,0.0227,4.145,72.1,0.44,1.89,42.4,synthetic
V00001,NCA,315,731.0,97.07,79.6,82.0,19.73,0.0193,4.137,53.7,0.55,2.1,37.0,real_calibrated
V00001,NCA,330,758.0,95.91,78.65,82.0,20.46,0.0224,4.152,37.9,2.11,0.68,30.7,real_calibrated
V00001,NCA,341,778.0,96.24,78.92,82.0,19.84,0.0201,4.142,30.9,1.26,2.21,20.6,synthetic
V00001,NCA,346,787.0,96.43,79.07,82.0,20.83,0.0212,4.147,76.0,1.58,0.76,21.6,real_calibrated
V00001,NCA,351,796.0,96.43,79.07,82.0,21.37,0.0229,4.156,87.2,0.66,2.33,22.6,synthetic
V00001,NCA,360,812.0,96.75,79.33,82.0,19.88,0.0169,4.149,33.6,1.57,0.59,39.2,synthetic
V00001,NCA,371,832.0,95.54,78.34,82.0,20.46,0.0198,4.134,52.2,0.59,1.25,24.1,synthetic
V00001,NCA,382,852.0,96.06,78.77,82.0,20.9,0.0217,4.132,42.7,2.15,0.89,47.7,real_calibrated
V00001,NCA,388,862.0,95.84,78.59,82.0,20.42,0.0199,4.138,60.5,1.79,2.02,21.2,real_calibrated
V00001,NCA,396,877.0,95.44,78.26,82.0,19.99,0.0205,4.138,73.2,2.03,2.42,17.6,synthetic
V00001,NCA,398,880.0,95.76,78.52,82.0,20.54,0.0203,4.16,57.4,0.71,1.01,9.7,real_calibrated
V00001,NCA,400,884.0,95.66,78.44,82.0,20.74,0.0217,4.138,37.1,2.53,0.92,33.7,real_calibrated
V00001,NCA,410,902.0,95.59,78.38,82.0,19.93,0.0192,4.139,41.2,0.94,2.34,18.8,synthetic
V00001,NCA,417,915.0,95.61,78.4,82.0,20.66,0.0202,4.156,72.6,0.97,0.57,22.8,real_calibrated
V00001,NCA,435,947.0,95.55,78.35,82.0,19.44,0.0202,4.135,39.7,0.43,2.4,19.3,synthetic
V00001,NCA,442,960.0,95.24,78.1,82.0,20.19,0.0189,4.13,53.1,1.08,0.63,29.6,synthetic
V00001,NCA,452,978.0,94.94,77.85,82.0,20.53,0.0224,4.136,60.6,2.95,2.15,28.1,synthetic
V00001,NCA,460,992.0,94.89,77.81,82.0,20.39,0.0208,4.146,50.4,2.01,1.36,36.8,real_calibrated
V00001,NCA,493,1051.0,94.72,77.67,82.0,20.18,0.0183,4.114,45.7,0.71,1.82,30.6,synthetic
V00001,NCA,510,1082.0,94.41,77.42,82.0,19.31,0.0188,4.151,60.3,0.55,0.79,31.5,synthetic
V00001,NCA,513,1087.0,94.29,77.32,82.0,21.14,0.0221,4.143,69.6,1.43,1.15,33.6,synthetic
V00001,NCA,517,1095.0,94.35,77.37,82.0,20.85,0.0203,4.143,41.8,1.66,1.97,37.3,synthetic
V00001,NCA,523,1105.0,94.14,77.19,82.0,21.25,0.0215,4.15,60.3,1.46,2.19,23.3,real_calibrated
V00001,NCA,524,1107.0,94.7,77.65,82.0,21.07,0.0232,4.144,44.6,0.38,0.85,16.1,synthetic
V00001,NCA,535,1127.0,94.11,77.17,82.0,20.1,0.02,4.138,67.5,2.52,1.73,21.8,real_calibrated
V00001,NCA,548,1150.0,94.13,77.19,82.0,20.37,0.0223,4.144,94.4,2.18,0.87,40.6,real_calibrated
V00001,NCA,554,1161.0,93.54,76.7,82.0,20.89,0.0216,4.142,39.9,0.77,0.76,25.8,real_calibrated
V00001,NCA,556,1165.0,94.32,77.34,82.0,21.09,0.021,4.146,67.1,2.6,1.07,29.2,synthetic
V00001,NCA,563,1177.0,93.65,76.79,82.0,21.34,0.0221,4.129,94.8,1.22,0.85,40.3,real_calibrated
V00001,NCA,578,1204.0,93.64,76.78,82.0,20.46,0.02,4.133,38.9,2.38,1.25,25.6,synthetic
V00001,NCA,581,1210.0,93.71,76.84,82.0,19.97,0.019,4.136,48.0,2.38,2.47,43.5,synthetic
V00001,NCA,600,1244.0,93.56,76.72,82.0,20.71,0.0208,4.144,32.7,2.17,2.38,23.9,synthetic
V00001,NCA,601,1246.0,93.37,76.56,82.0,20.85,0.021,4.139,74.0,1.87,0.95,27.0,synthetic
V00001,NCA,608,1258.0,93.08,76.33,82.0,20.33,0.0208,4.154,49.7,1.13,1.79,17.9,synthetic
V00001,NCA,612,1266.0,93.54,76.7,82.0,20.33,0.0212,4.132,34.3,1.58,1.73,43.4,synthetic
V00001,NCA,617,1275.0,93.5,76.67,82.0,19.93,0.0214,4.141,87.6,0.57,1.16,36.5,synthetic
V00001,NCA,619,1278.0,92.75,76.06,82.0,20.02,0.0212,4.14,72.3,2.52,1.08,38.1,real_calibrated
V00001,NCA,634,1305.0,93.8,76.92,82.0,21.34,0.0189,4.133,57.9,0.68,1.62,34.3,synthetic
V00001,NCA,637,1311.0,93.12,76.36,82.0,20.73,0.0218,4.146,68.1,1.97,2.07,39.5,synthetic
V00001,NCA,638,1312.0,93.46,76.64,82.0,21.37,0.0208,4.142,45.9,0.76,0.73,30.6,synthetic
V00001,NCA,649,1332.0,92.67,75.99,82.0,21.4,0.0202,4.142,82.0,1.84,1.04,9.5,real_calibrated
V00001,NCA,652,1338.0,92.37,75.74,82.0,20.51,0.0202,4.122,71.5,1.56,0.64,16.7,synthetic
V00001,NCA,659,1350.0,93.14,76.37,82.0,20.16,0.0194,4.128,38.9,1.1,2.27,10.1,real_calibrated
V00001,NCA,660,1352.0,93.02,76.28,82.0,19.98,0.0216,4.135,62.7,2.45,1.91,18.2,synthetic
V00001,NCA,662,1356.0,92.05,75.48,82.0,20.72,0.0224,4.131,50.4,1.09,0.69,34.3,real_calibrated
V00001,NCA,697,1419.0,92.19,75.6,82.0,20.95,0.0208,4.135,45.6,2.19,1.82,29.5,synthetic
V00001,NCA,701,1426.0,92.71,76.02,82.0,20.86,0.0191,4.145,84.0,2.14,1.57,33.3,synthetic
V00001,NCA,712,1446.0,92.39,75.76,82.0,20.79,0.0205,4.133,35.3,1.0,0.75,36.3,synthetic
V00001,NCA,730,1478.0,92.54,75.88,82.0,20.49,0.0183,4.131,77.1,2.42,1.68,35.1,real_calibrated
V00001,NCA,734,1485.0,92.27,75.66,82.0,20.84,0.0207,4.128,45.2,0.8,1.53,36.1,real_calibrated
V00001,NCA,735,1487.0,92.44,75.8,82.0,21.24,0.0234,4.147,47.2,0.55,1.82,35.6,real_calibrated
V00001,NCA,754,1521.0,92.24,75.64,82.0,21.17,0.0203,4.117,81.5,0.61,1.61,24.8,synthetic
V00001,NCA,758,1528.0,91.86,75.33,82.0,20.29,0.0205,4.131,84.1,2.12,0.99,21.4,real_calibrated
V00001,NCA,763,1537.0,91.61,75.12,82.0,20.26,0.0205,4.125,34.3,1.83,0.8,30.2,real_calibrated
V00001,NCA,765,1541.0,91.77,75.25,82.0,20.56,0.0202,4.143,63.0,2.17,1.34,24.8,real_calibrated
V00001,NCA,774,1557.0,91.63,75.14,82.0,20.42,0.019,4.126,40.1,2.21,1.61,24.1,real_calibrated
V00001,NCA,781,1570.0,91.99,75.43,82.0,20.77,0.0221,4.136,80.5,1.69,1.87,27.3,real_calibrated
V00001,NCA,792,1590.0,91.84,75.31,82.0,19.74,0.0199,4.118,36.0,2.87,0.98,32.7,real_calibrated
V00001,NCA,809,1620.0,91.56,75.08,82.0,20.91,0.0198,4.131,47.2,2.34,1.42,36.3,real_calibrated
V00001,NCA,810,1622.0,91.6,75.11,82.0,20.76,0.0219,4.138,32.6,0.39,0.8,33.3,synthetic
V00001,NCA,811,1624.0,90.82,74.47,82.0,20.09,0.0192,4.138,65.4,2.77,0.54,23.6,synthetic
V00001,NCA,812,1626.0,91.22,74.8,82.0,20.02,0.0207,4.137,33.8,2.91,0.56,26.4,real_calibrated
V00001,NCA,819,1638.0,90.97,74.6,82.0,20.71,0.0221,4.134,88.9,1.64,1.05,23.1,synthetic
V00001,NCA,820,1640.0,91.02,74.64,82.0,19.91,0.021,4.14,73.6,1.35,2.28,27.7,real_calibrated
V00001,NCA,822,1644.0,90.64,74.32,82.0,20.23,0.0209,4.136,92.2,2.28,1.71,24.9,synthetic
V00001,NCA,827,1653.0,91.09,74.69,82.0,21.2,0.0238,4.129,40.8,0.3,2.31,28.1,real_calibrated
V00001,NCA,832,1662.0,91.14,74.73,82.0,20.43,0.0196,4.122,91.9,0.77,1.87,31.6,real_calibrated
V00001,NCA,844,1683.0,91.38,74.93,82.0,20.89,0.0211,4.144,54.9,1.12,2.5,21.1,synthetic
V00001,NCA,846,1687.0,90.83,74.48,82.0,20.27,0.0217,4.157,94.8,2.52,1.68,28.9,synthetic
V00001,NCA,866,1723.0,90.83,74.48,82.0,20.54,0.0207,4.106,86.4,1.49,1.99,24.5,synthetic
V00001,NCA,873,1735.0,90.38,74.11,82.0,19.94,0.0197,4.148,73.3,0.56,2.33,12.0,real_calibrated
V00001,NCA,875,1739.0,90.75,74.42,82.0,21.14,0.0228,4.129,56.8,1.45,1.42,30.4,real_calibrated
V00001,NCA,877,1743.0,90.79,74.45,82.0,20.53,0.021,4.136,65.7,0.34,1.33,25.3,real_calibrated
V00001,NCA,882,1752.0,90.38,74.11,82.0,20.22,0.0208,4.145,65.1,2.92,0.59,24.4,synthetic
V00001,NCA,883,1753.0,90.41,74.14,82.0,20.33,0.0212,4.135,35.8,2.17,1.34,16.8,real_calibrated
V00001,NCA,895,1775.0,90.7,74.37,82.0,21.32,0.022,4.123,86.9,1.34,1.15,21.4,real_calibrated
V00001,NCA,898,1780.0,90.35,74.09,82.0,20.16,0.0212,4.124,54.4,1.76,1.93,36.7,real_calibrated
V00001,NCA,901,1786.0,90.11,73.89,82.0,20.27,0.0203,4.124,89.2,1.42,0.79,30.7,real_calibrated
V00001,NCA,902,1788.0,90.15,73.92,82.0,21.33,0.0231,4.125,69.1,2.18,1.99,25.4,real_calibrated
V00001,NCA,909,1800.0,89.92,73.73,82.0,20.96,0.0231,4.141,60.8,1.87,0.52,39.7,real_calibrated
V00001,NCA,916,1813.0,90.33,74.07,82.0,20.8,0.0191,4.119,54.9,0.84,1.57,29.4,real_calibrated
V00001,NCA,941,1858.0,89.45,73.35,82.0,20.96,0.0216,4.113,42.1,0.59,2.17,39.5,synthetic
V00001,NCA,950,1874.0,89.22,73.16,82.0,20.69,0.0199,4.124,74.2,0.73,2.41,28.9,real_calibrated
V00001,NCA,955,1883.0,89.97,73.78,82.0,20.39,0.0219,4.143,84.8,2.97,2.13,22.5,real_calibrated
V00001,NCA,960,1892.0,89.89,73.71,82.0,21.22,0.0215,4.132,50.6,2.89,1.97,25.0,real_calibrated
V00001,NCA,962,1896.0,89.68,73.54,82.0,20.91,0.0198,4.121,47.7,2.83,1.11,24.4,real_calibrated
V00001,NCA,964,1899.0,89.45,73.35,82.0,20.75,0.021,4.114,37.8,2.08,0.51,31.1,real_calibrated
V00001,NCA,967,1905.0,89.39,73.3,82.0,21.76,0.0222,4.129,66.9,2.1,0.67,39.4,synthetic
V00001,NCA,986,1939.0,89.41,73.32,82.0,20.49,0.021,4.13,84.6,2.64,2.07,47.2,synthetic
V00001,NCA,992,1950.0,88.94,72.93,82.0,20.85,0.021,4.139,87.5,2.48,0.56,26.8,real_calibrated
V00001,NCA,999,1962.0,89.27,73.2,82.0,20.07,0.021,4.137,74.6,0.83,0.52,27.2,synthetic
V00001,NCA,1000,1964.0,89.23,73.17,82.0,21.38,0.0197,4.128,88.1,1.15,1.61,33.8,real_calibrated
V00001,NCA,1009,1980.0,89.21,73.15,82.0,21.48,0.021,4.123,75.9,2.26,1.13,37.2,synthetic
V00001,NCA,1010,1982.0,88.68,72.72,82.0,20.89,0.022,4.116,88.2,1.16,2.45,17.9,synthetic
V00001,NCA,1014,1989.0,88.82,72.83,82.0,20.19,0.0204,4.125,74.3,1.74,1.76,20.9,real_calibrated
V00001,NCA,1025,2009.0,88.98,72.96,82.0,19.99,0.0215,4.121,59.1,1.57,1.39,26.6,synthetic
V00001,NCA,1034,2025.0,89.02,73.0,82.0,20.86,0.0218,4.143,46.2,2.41,2.06,22.6,real_calibrated
V00001,NCA,1039,2034.0,88.69,72.73,82.0,21.35,0.0223,4.12,31.6,1.77,1.97,31.9,real_calibrated
V00001,NCA,1056,2065.0,88.06,72.21,82.0,21.31,0.0229,4.157,36.0,1.18,1.95,33.4,synthetic
V00001,NCA,1091,2128.0,88.47,72.55,82.0,20.01,0.0223,4.133,36.5,1.15,1.5,31.9,real_calibrated
V00001,NCA,1098,2140.0,88.31,72.41,82.0,20.9,0.022,4.145,56.0,2.41,1.22,25.9,real_calibrated
V00001,NCA,1099,2142.0,87.68,71.9,82.0,20.55,0.0199,4.116,89.9,2.32,0.55,16.3,synthetic
V00001,NCA,1104,2151.0,88.26,72.37,82.0,20.56,0.02,4.123,58.5,2.62,0.9,24.8,real_calibrated
V00001,NCA,1112,2166.0,87.9,72.08,82.0,21.07,0.0218,4.118,41.6,2.94,0.77,26.5,synthetic
V00001,NCA,1119,2178.0,88.42,72.5,82.0,20.19,0.02,4.135,34.3,1.14,2.45,29.8,real_calibrated
V00001,NCA,1122,2184.0,87.8,72.0,82.0,20.46,0.0195,4.136,34.0,0.67,1.99,43.6,real_calibrated
V00001,NCA,1128,2194.0,87.88,72.06,82.0,20.26,0.0197,4.104,48.0,1.81,1.68,28.8,real_calibrated
V00002,LFP,0,215.0,100.0,60.05,60.0,14.01,0.014,3.367,77.7,0.93,1.36,32.6,synthetic
V00002,LFP,6,226.0,100.0,60.07,60.0,14.25,0.0135,3.38,36.4,2.23,1.07,34.2,real_calibrated
V00002,LFP,19,249.0,100.0,60.03,60.0,14.56,0.0147,3.363,33.9,1.44,2.07,26.5,real_calibrated
V00002,LFP,23,256.0,99.42,59.65,60.0,14.56,0.0148,3.386,46.3,2.11,1.59,12.2,real_calibrated
V00002,LFP,27,264.0,99.41,59.65,60.0,14.37,0.0145,3.366,36.2,1.27,0.97,29.1,real_calibrated
V00002,LFP,29,267.0,99.63,59.78,60.0,13.37,0.0128,3.373,81.6,2.58,0.6,12.7,synthetic
V00002,LFP,44,294.0,99.87,59.92,60.0,14.81,0.0144,3.372,44.6,0.85,2.34,27.0,real_calibrated
V00002,LFP,52,309.0,99.42,59.65,60.0,14.46,0.014,3.374,75.3,1.07,1.73,27.3,real_calibrated
V00002,LFP,77,354.0,99.49,59.69,60.0,15.23,0.0145,3.391,79.8,0.94,2.28,28.6,synthetic
V00002,LFP,86,370.0,99.73,59.84,60.0,14.95,0.0158,3.371,35.4,2.77,0.59,29.7,real_calibrated
V00002,LFP,90,377.0,99.34,59.6,60.0,14.29,0.0142,3.371,95.0,0.31,1.06,16.7,synthetic
V00002,LFP,102,399.0,99.31,59.59,60.0,14.19,0.0149,3.374,60.5,0.37,0.8,38.8,real_calibrated
V00002,LFP,109,411.0,99.05,59.43,60.0,14.57,0.0155,3.393,70.4,2.17,1.83,23.9,real_calibrated
V00002,LFP,116,424.0,99.65,59.79,60.0,13.89,0.0135,3.382,93.8,2.67,0.66,23.7,real_calibrated
V00002,LFP,118,427.0,98.58,59.15,60.0,14.67,0.0134,3.374,62.1,1.31,1.35,20.9,real_calibrated
V00002,LFP,119,429.0,99.5,59.7,60.0,13.92,0.0139,3.395,40.4,1.23,1.72,16.8,real_calibrated
V00002,LFP,122,435.0,99.11,59.47,60.0,14.14,0.0114,3.385,43.7,2.41,0.98,18.4,synthetic
V00002,LFP,126,442.0,99.48,59.69,60.0,15.75,0.0149,3.388,45.1,1.44,2.45,30.4,synthetic
V00002,LFP,139,465.0,99.08,59.45,60.0,14.01,0.0128,3.39,50.0,2.74,2.13,40.5,real_calibrated
V00002,LFP,147,480.0,99.25,59.55,60.0,14.82,0.0145,3.384,80.9,0.92,1.46,33.7,synthetic
V00002,LFP,149,483.0,99.16,59.5,60.0,13.84,0.0145,3.377,43.3,1.96,1.3,16.9,real_calibrated
V00002,LFP,154,492.0,99.3,59.58,60.0,14.06,0.0158,3.369,52.1,2.53,1.31,40.9,real_calibrated
V00002,LFP,155,494.0,99.27,59.56,60.0,15.01,0.0147,3.367,50.2,0.4,1.93,24.6,synthetic
V00002,LFP,157,498.0,99.3,59.58,60.0,14.27,0.0127,3.381,61.7,2.33,1.33,7.7,synthetic
V00002,LFP,159,501.0,99.1,59.46,60.0,14.71,0.0126,3.377,53.1,2.98,2.18,23.0,real_calibrated
V00002,LFP,160,503.0,99.26,59.56,60.0,14.87,0.0155,3.373,65.6,1.26,1.08,21.8,synthetic
V00002,LFP,166,514.0,99.22,59.53,60.0,13.84,0.0136,3.358,41.3,2.2,1.51,28.7,real_calibrated
V00002,LFP,169,519.0,98.79,59.27,60.0,13.87,0.0146,3.387,62.6,1.94,1.7,32.9,real_calibrated
V00002,LFP,177,534.0,98.73,59.24,60.0,13.99,0.0142,3.383,46.1,2.0,0.6,16.1,real_calibrated
V00002,LFP,185,548.0,98.21,58.93,60.0,14.33,0.016,3.369,90.7,1.25,0.91,30.0,real_calibrated
V00002,LFP,188,553.0,99.0,59.4,60.0,14.15,0.0148,3.379,94.8,2.46,2.04,30.5,real_calibrated
V00002,LFP,222,615.0,98.6,59.16,60.0,13.85,0.0133,3.373,73.0,1.5,2.12,34.8,real_calibrated
V00002,LFP,229,627.0,98.37,59.02,60.0,14.01,0.0146,3.377,75.7,1.78,1.61,26.5,real_calibrated
V00002,LFP,232,633.0,98.14,58.88,60.0,14.15,0.0141,3.369,46.9,0.76,1.68,26.3,synthetic
V00002,LFP,238,643.0,98.56,59.14,60.0,14.01,0.0134,3.362,91.5,1.88,1.13,29.7,synthetic
V00002,LFP,248,661.0,98.15,58.89,60.0,15.33,0.0165,3.369,34.7,0.51,1.06,25.1,real_calibrated
V00002,LFP,252,669.0,98.03,58.82,60.0,14.94,0.0141,3.371,56.5,0.43,1.97,24.3,synthetic
V00002,LFP,258,679.0,98.1,58.86,60.0,14.55,0.0154,3.377,34.6,0.7,2.34,10.3,real_calibrated
V00002,LFP,261,685.0,97.75,58.65,60.0,14.32,0.0154,3.395,92.6,2.49,1.33,18.7,real_calibrated
V00002,LFP,263,688.0,97.97,58.78,60.0,13.58,0.0136,3.378,62.3,2.9,2.23,23.8,real_calibrated
V00002,LFP,270,701.0,98.03,58.82,60.0,14.69,0.0136,3.381,54.9,0.92,1.99,25.8,real_calibrated
V00002,LFP,272,705.0,98.07,58.84,60.0,14.35,0.0152,3.373,50.6,2.11,1.15,28.9,synthetic
V00002,LFP,275,710.0,97.79,58.67,60.0,14.41,0.0126,3.382,55.0,2.67,2.19,30.0,synthetic
V00002,LFP,278,715.0,97.91,58.75,60.0,14.38,0.0149,3.37,67.3,1.24,1.02,23.2,real_calibrated
V00002,LFP,296,748.0,98.45,59.07,60.0,15.12,0.0158,3.389,57.6,1.42,1.84,48.4,real_calibrated
V00002,LFP,298,751.0,97.8,58.68,60.0,14.56,0.0134,3.369,81.7,2.36,0.64,26.5,synthetic
V00002,LFP,304,762.0,98.05,58.83,60.0,14.44,0.0146,3.388,86.3,0.35,1.6,24.0,real_calibrated
V00002,LFP,305,764.0,97.29,58.37,60.0,14.29,0.0122,3.385,36.9,1.13,1.81,28.2,real_calibrated
V00002,LFP,313,778.0,97.77,58.66,60.0,13.21,0.0133,3.373,83.8,1.13,1.08,24.6,real_calibrated
V00002,LFP,315,782.0,97.77,58.66,60.0,13.94,0.0138,3.356,72.6,2.12,1.89,24.8,synthetic
V00002,LFP,320,791.0,97.19,58.31,60.0,13.92,0.0148,3.362,36.0,1.65,1.61,26.1,synthetic
V00002,LFP,324,798.0,97.32,58.39,60.0,14.45,0.0156,3.356,42.9,1.08,0.83,32.5,synthetic
V00002,LFP,327,804.0,97.48,58.49,60.0,14.94,0.0165,3.386,82.4,2.07,2.08,33.7,real_calibrated
V00002,LFP,343,832.0,97.52,58.51,60.0,14.16,0.0136,3.371,35.9,0.89,1.41,23.2,real_calibrated
V00002,LFP,350,845.0,97.37,58.42,60.0,14.32,0.014,3.388,85.8,2.09,2.46,21.4,real_calibrated
V00002,LFP,353,850.0,97.18,58.31,60.0,15.71,0.0168,3.376,43.7,1.24,2.12,33.1,synthetic
V00002,LFP,354,852.0,97.47,58.48,60.0,14.1,0.0154,3.365,86.9,1.85,1.29,31.8,synthetic
V00002,LFP,356,856.0,97.54,58.52,60.0,15.31,0.0173,3.376,64.7,1.55,1.06,28.6,real_calibrated
V00002,LFP,357,858.0,97.8,58.68,60.0,14.21,0.0152,3.373,66.8,2.47,0.9,18.3,synthetic
V00002,LFP,360,863.0,97.23,58.34,60.0,13.9,0.0131,3.372,58.7,2.4,1.03,25.3,real_calibrated
V00002,LFP,368,877.0,97.67,58.6,60.0,14.21,0.0143,3.389,91.5,1.2,2.23,31.9,synthetic
V00002,LFP,376,892.0,97.14,58.28,60.0,14.22,0.0133,3.375,41.7,1.53,2.11,40.3,real_calibrated
V00002,LFP,378,895.0,96.94,58.16,60.0,13.62,0.014,3.364,91.9,1.12,2.2,23.9,synthetic
V00002,LFP,385,908.0,97.3,58.38,60.0,14.71,0.0163,3.371,48.4,2.51,2.46,34.7,real_calibrated
V00002,LFP,397,930.0,97.27,58.36,60.0,14.29,0.0155,3.39,70.6,2.21,0.5,26.1,real_calibrated
V00002,LFP,409,951.0,96.52,57.91,60.0,15.77,0.0163,3.361,37.0,2.3,0.53,27.5,real_calibrated
V00002,LFP,410,953.0,97.34,58.4,60.0,13.87,0.0124,3.373,43.9,2.09,2.44,31.5,real_calibrated
V00002,LFP,416,964.0,96.83,58.1,60.0,14.0,0.0157,3.403,61.7,2.78,0.51,14.9,real_calibrated
V00002,LFP,419,969.0,96.94,58.16,60.0,14.25,0.0121,3.364,94.9,1.02,1.83,23.2,real_calibrated
V00002,LFP,421,973.0,97.32,58.39,60.0,13.65,0.0125,3.373,75.5,2.87,1.23,20.2,real_calibrated
V00002,LFP,424,978.0,97.09,58.25,60.0,14.17,0.0138,3.371,38.2,2.18,2.09,35.1,synthetic
V00002,LFP,430,989.0,97.03,58.22,60.0,14.33,0.0144,3.375,30.4,0.58,1.81,16.9,synthetic
V00002,LFP,435,998.0,96.85,58.11,60.0,14.82,0.0143,3.37,53.8,1.96,0.92,22.2,real_calibrated
V00002,LFP,444,1014.0,97.02,58.21,60.0,14.35,0.015,3.385,48.2,2.06,1.8,24.6,synthetic
V00002,LFP,446,1018.0,96.45,57.87,60.0,14.36,0.0159,3.376,92.5,0.91,0.98,42.2,synthetic
V00002,LFP,448,1021.0,97.1,58.26,60.0,13.9,0.0136,3.362,49.2,0.7,2.37,38.9,real_calibrated
V00002,LFP,450,1025.0,96.31,57.79,60.0,13.95,0.0141,3.373,66.0,1.19,0.79,30.2,real_calibrated
V00002,LFP,451,1027.0,97.02,58.21,60.0,14.4,0.0146,3.368,39.3,2.87,1.56,22.1,real_calibrated
V00002,LFP,456,1036.0,96.69,58.01,60.0,15.15,0.0143,3.385,47.1,1.09,1.7,31.2,real_calibrated
V00002,LFP,461,1045.0,97.07,58.24,60.0,14.51,0.0139,3.392,60.2,0.88,1.78,25.9,synthetic
